Pincode,City,State
110001,Central Delhi,Delhi
110002,Central Delhi,Delhi
110003,Central Delhi,Delhi
110004,Central Delhi,Delhi
110005,Central Delhi,Delhi
110006,Central Delhi,Delhi
110007,North Delhi,Delhi
110008,Central Delhi,Delhi
110009,North West Delhi,Delhi
110010,South West Delhi,Delhi
110011,Central Delhi,Delhi
110012,Central Delhi,Delhi
110013,South Delhi,Delhi
110014,South Delhi,Delhi
110015,West Delhi,Delhi
110016,South West Delhi,Delhi
110017,South Delhi,Delhi
110018,West Delhi,Delhi
110019,South Delhi,Delhi
110020,South East Delhi,Delhi
110021,South West Delhi,Delhi
110022,South West Delhi,Delhi
110023,South West Delhi,Delhi
110024,South Delhi,Delhi
110025,South Delhi,Delhi
110026,West Delhi,Delhi
110027,West Delhi,Delhi
110028,South West Delhi,Delhi
110029,South West Delhi,Delhi
110030,South West Delhi,Delhi
110031,East Delhi,Delhi
110032,East Delhi,Delhi
110033,North West Delhi,Delhi
110034,North West Delhi,Delhi
110035,North West Delhi,Delhi
110036,North Delhi,Delhi
110037,South West Delhi,Delhi
110038,South West Delhi,Delhi
110039,North Delhi,Delhi
110040,North West Delhi,Delhi
110041,West Delhi,Delhi
110042,North Delhi,Delhi
110043,South West Delhi,Delhi
110044,South Delhi,Delhi
110045,South West Delhi,Delhi
110046,South West Delhi,Delhi
110047,South West Delhi,Delhi
110048,South Delhi,Delhi
110049,South Delhi,Delhi
110051,East Delhi,Delhi
110052,North West Delhi,Delhi
110053,East Delhi,Delhi
110054,North Delhi,Delhi
110055,Central Delhi,Delhi
110056,North West Delhi,Delhi
110057,South West Delhi,Delhi
110058,West Delhi,Delhi
110059,West Delhi,Delhi
110060,Central Delhi,Delhi
110061,South West Delhi,Delhi
110062,South Delhi,Delhi
110063,West Delhi,Delhi
110064,South West Delhi,Delhi
110065,South Delhi,Delhi
110066,South West Delhi,Delhi
110067,South West Delhi,Delhi
110068,South West Delhi,Delhi
110069,Central Delhi,Delhi
110070,South West Delhi,Delhi
110071,South West Delhi,Delhi
110072,South West Delhi,Delhi
110073,South West Delhi,Delhi
110074,South West Delhi,Delhi
110075,South West Delhi,Delhi
110076,South Delhi,Delhi
110077,South West Delhi,Delhi
110078,South West Delhi,Delhi
110080,South Delhi,Delhi
110081,North West Delhi,Delhi
110082,North West Delhi,Delhi
110083,North West Delhi,Delhi
110084,North Delhi,Delhi
110085,North West Delhi,Delhi
110086,North West Delhi,Delhi
110087,West Delhi,Delhi
110088,North West Delhi,Delhi
110089,North West Delhi,Delhi
110090,North East Delhi,Delhi
110091,East Delhi,Delhi
110092,East Delhi,Delhi
110093,East Delhi,Delhi
110094,East Delhi,Delhi
110095,East Delhi,Delhi
110096,East Delhi,Delhi
110097,South West Delhi,Delhi
121001,Faridabad,Haryana
121002,Faridabad,Haryana
121003,Faridabad,Haryana
121004,Faridabad,Haryana
121005,Faridabad,Haryana
121006,Faridabad,Haryana
121007,Faridabad,Haryana
121008,Faridabad,Haryana
121009,Faridabad,Haryana
121010,Faridabad,Haryana
121011,Faridabad,Haryana
121012,Faridabad,Haryana
121013,Faridabad,Haryana
121101,Faridabad,Haryana
121102,Faridabad,Haryana
121103,Faridabad,Haryana
121104,Gurgaon,Haryana
121105,Faridabad,Haryana
121106,Faridabad,Haryana
121107,Faridabad,Haryana
121705,Mau,Uttar Pradesh
122001,Gurgaon,Haryana
122002,Gurgaon,Haryana
122003,Gurgaon,Haryana
122004,Gurgaon,Haryana
122005,Gurgaon,Haryana
122006,Gurgaon,Haryana
122007,Gurgaon,Haryana
122008,Gurgaon,Haryana
122009,Gurgaon,Haryana
122010,Gurgaon,Haryana
122011,Gurgaon,Haryana
122015,Gurgaon,Haryana
122016,Gurgaon,Haryana
122017,Gurgaon,Haryana
122018,Gurgaon,Haryana
122022,Gurgaon,Haryana
122050,Gurgaon,Haryana
122051,Gurgaon,Haryana
122052,Gurgaon,Haryana
122100,Rewari,Haryana
122101,Gurgaon,Haryana
122102,Gurgaon,Haryana
122103,Gurgaon,Haryana
122104,Gurgaon,Haryana
122105,Gurgaon,Haryana
122106,Gurgaon,Haryana
122107,Rewari,Haryana
122108,Gurgaon,Haryana
122413,Gurgaon,Haryana
122414,Gurgaon,Haryana
122502,Rewari,Haryana
122503,Gurgaon,Haryana
122504,Gurgaon,Haryana
122505,Gurgaon,Haryana
122506,Gurgaon,Haryana
122508,Gurgaon,Haryana
123001,Mahendragarh,Haryana
123003,Gurgaon,Haryana
123021,Gurgaon,Haryana
123023,Mahendragarh,Haryana
123024,Mahendragarh,Haryana
123027,Rewari,Haryana
123028,Mahendragarh,Haryana
123029,Ambala,Haryana
123034,Gurgaon,Haryana
123035,Gurgaon,Haryana
123101,Gurgaon,Haryana
123102,Rewari,Haryana
123103,Rewari,Haryana
123106,Rewari,Haryana
123110,Rewari,Haryana
123301,Rewari,Haryana
123302,Mahendragarh,Haryana
123303,Mahendragarh,Haryana
123305,Jhajjar,Haryana
123401,Rewari,Haryana
123411,Mahendragarh,Haryana
123412,Mahendragarh,Haryana
123413,Gurgaon,Haryana
123414,Gurgaon,Haryana
123501,Rewari,Haryana
123502,Gurgaon,Haryana
123504,Gurgaon,Haryana
123505,Gurgaon,Haryana
123506,Gurgaon,Haryana
124001,Rohtak,Haryana
124010,Rohtak,Haryana
124021,Jhajjar,Haryana
124022,Jhajjar,Haryana
124102,Jhajjar,Haryana
124103,Jhajjar,Haryana
124104,Jhajjar,Haryana
124105,Jhajjar,Haryana
124106,Jhajjar,Haryana
124107,Jhajjar,Haryana
124108,Jhajjar,Haryana
124109,Jhajjar,Haryana
124111,Rohtak,Haryana
124112,Rohtak,Haryana
124113,Rohtak,Haryana
124141,Jhajjar,Haryana
124142,Jhajjar,Haryana
124146,Jhajjar,Haryana
124201,Jhajjar,Haryana
124202,Jhajjar,Haryana
124303,Rohtak,Haryana
124401,Rohtak,Haryana
124404,Rohtak,Haryana
124406,Jhajjar,Haryana
124411,Rohtak,Haryana
124412,Jhajjar,Haryana
124416,Rohtak,Haryana
124501,Rohtak,Haryana
124504,Jhajjar,Haryana
124505,Jhajjar,Haryana
124506,Jhajjar,Haryana
124507,Jhajjar,Haryana
124508,Jhajjar,Haryana
124513,Rohtak,Haryana
124514,Rohtak,Haryana
124524,Rohtak,Haryana
125001,Hisar,Haryana
125004,Hisar,Haryana
125005,Hisar,Haryana
125006,Hisar,Haryana
125007,Hisar,Haryana
125011,Hisar,Haryana
125033,Hisar,Haryana
125037,Hisar,Haryana
125038,Hisar,Haryana
125039,Hisar,Haryana
125042,Hisar,Haryana
125044,Hisar,Haryana
125047,Fatehabad,Haryana
125048,Hisar,Haryana
125049,Hisar,Haryana
125050,Fatehabad,Haryana
125051,Fatehabad,Haryana
125052,Fatehabad,Haryana
125053,Fatehabad,Haryana
125054,Sirsa,Haryana
125055,Sirsa,Haryana
125056,Sirsa,Haryana
125058,Sirsa,Haryana
125060,Hisar,Haryana
125075,Fatehabad,Haryana
125076,Sirsa,Haryana
125077,Sirsa,Haryana
125078,Fatehabad,Haryana
125101,Sirsa,Haryana
125102,Fatehabad,Haryana
125103,Fatehabad,Haryana
125104,Sirsa,Haryana
125106,Fatehabad,Haryana
125110,Sirsa,Haryana
125111,Hisar,Haryana
125112,Fatehabad,Haryana
125113,Fatehabad,Haryana
125120,Fatehabad,Haryana
125121,Fatehabad,Haryana
125133,Fatehabad,Haryana
125201,Sirsa,Haryana
126101,Jind,Haryana
126102,Jind,Haryana
126110,Jind,Haryana
126111,Ambala,Haryana
126112,Jind,Haryana
126113,Jind,Haryana
126114,Jind,Haryana
